name	inn	Company name	revenue_2021_mln_$USA
ООО "Роберт Бош"	7706092944	Robert Bosch	663,0
ЗАО "ФЕРРЕРО РУССИЯ"	5044018861	Ferrero SpA	660,0
БОРИСХОФ 1	7713628217	Inchcape	655,0
ООО "ЯГУАР ЛЕНД РОВЕР"	5047095543	Jaguar	654,0
ПАО "ЭНЕЛ РОССИЯ"	6671156423	Enel	649,0
ООО "ЭББОТТ ЛЭБОРАТОРИЗ"	7725594604	Abbott Labs	647,0
ООО "ПОРШЕ РУССЛАНД"	7703374404	Porsche	647,0
ООО "ГАЗПРОМНЕФТЬ-ВОСТОК"	7017126251	Mubadala	632,0
ООО "Проктер энд Гэмбл-Новомосковск"	7101006354	Procter & Gamble	628,0
АО "ШНЕЙДЕР ЭЛЕКТРИК"	7712092928	Schneider Electric	606,0
ООО "ВОСТОЧНАЯ ТЕХНИКА"	5404151283	Barloworld	597,0
ООО "КЕХ ЕКОММЕРЦ"	7710668349	Naspers	593,0
ООО "ЭЙЧПИ ИНК"	7743101210	HP (Hewlett-Packard)	585,0
ООО "ФИЛИПС"	7704216778	Philips	579,0
ООО "МАН Трак энд Бас РУС"	7730117815	MAN	579,0
ООО "ВИРЛПУЛ РУС"	7717654289	Whirlpool	567,0
ООО "Кимберли-Кларк"	7709222373	Kimberly-Clark	551,0
ООО "Новартис Фарма"	7705772224	Novartis	551,0
ООО "АстраЗенека Фармасьютикалз"	7704579700	AstraZeneca	546,0
ООО "МИШЛЕН"	5073007462	Michelin Tire	546,0
ООО "ХАР"	1650292810	Haier	544,0
ООО "СИНГЕНТА"	7705255201	Syngenta AG	540,0
АО БРИТИШ АМЕРИКАН ТОБАККО-СПБ	7809008119	British American Tobacco	540,0
АО «Мултон»	7810249327	Coca-Cola	533,0
ООО "Нокиан Тайерс"	4703073810	Nokian Tyres	524,0
ООО "СП БИЗНЕС КАР"	7705040943	Toyota	515,0
ООО "ОПХ"	7802118578	Heineken	513,0
ООО "БОЛЛ НАРО-ФОМИНСК"	5030041780	Ball Corporation	511,0
ООО "САП СНГ"	7705058323	SAP	510,0
ООО "ДЖИЛИ-МОТОРС"	7716641537	Geely	508,0
ООО "Мерседес-Бенц Файненшл Сервисес Рус"	7707279342	Daimler	506,0
ООО "Ферронордик Машины"	7710761161	Ferronordic	504,0
ООО "ФЕРРОНОРДИК ТД"	5047151332	Ferronordic	102,8
ООО "Цеппелин Русланд"	7702192017	Zeppelin	499,0
ООО "ПФАЙЗЕР ИННОВАЦИИ"	7703106050	Pfizer	496,0
ОАО "ФРИТО ЛЕЙ МАНУФАКТУРИНГ"	7705189397	Pepsi	493,0
ООО "ЯКОБС ДАУ ЭГБЕРТС РУС"	4725001168	Mondelez	488,0
ООО "ДЕНЦУ СИ ЭС"	7709583813	Dentsu International	486,1
ООО "Скания Лизинг"	7705392920	Scania	486,0
ООО "Вольво Карс"	5047105054	Volvo Cars	472,0
ООО "СИСКО СОЛЮШЕНЗ"	7705545285	Cisco Systems Inc	471,0
ООО "МИЦУБИСИ МОТОРС РУС"	7710698978	Mitsubishi Motors	460,0
ООО "Катерпиллар Евразия"	7705639173	Caterpillar	457,0
ООО "КРКА ФАРМА"	5042060699	KRKA	451,0
ООО "Сумитек Интернейшнл"	7709340842	Sumitomo	444,0
ООО "ВФС Восток"	5047056255	Volvo Cars	442,0
ООО "ТЕВА"	7707282440	Teva	440,0
ООО "ЭССИТИ"	4704031845	Essity	439,0
ООО Клаас Восток	7723152449	Claas	435,0
ООО "ПЕЖО СИТРОЕН РУС"	7701534807	Stellantis	433,0
ООО "Хохланд Руссланд"	5040048921	Hochland	424,0
АО "БЕЙКЕР ХЬЮЗ"	7714024384	Baker Hughes	418,0
ООО "Бакарди Рус"	7706244940	Bacardi	418,0
ООО "СИЭНЭЙЧ ИНДАСТРИАЛ РУССИЯ"	1650202670	CNH Industrial	418,0
ООО "БУНГЕ СНГ"	7743084941	Bunge	417,0
ЗАО "Сандоз"	7717011640	Sandoz	404,0
АО "ИНДЕЗИТ ИНТЕРНЭШНЛ"	4823005682	Indesit	404,0
ООО "ЭПАМ Систэмз"	7719232155	EPAM	399,0
ООО "ОКТОБЛУ"	5029086747	Decathlon	397,0
ООО Данон Индустрия	5048005969	Danone	392,0
ООО "Берингер Ингельхайм"	7714103413	Boehringer	389,0
ООО "СИЭНЭЙЧ ИНДАСТРИАЛ КАПИТАЛ РУССИЯ"	5047092888	CNH Industrial	389,0
ЗАО "Рош-Москва"	7728055569	Roche	388,0
ООО "ГрупЭм"	7731529770	GroupM	381,0
ООО "КОМПАНИЯ ЛУИС ДРЕЙФУС ВОСТОК"	7710289975	Louis Dreyfus	379,0
ООО "МОБИС МОДУЛЬ СНГ"	7801463476	Hyundai	378,0
ООО "ЮНИКЛО (РУС)"	7705878750	Uniqlo	375,0
ООО "Пирелли Тайр Руссия"	7704787370	Pirelli	368,0
ООО "КАСТАМОНУ ИНТЕГРЕЙТЕД ВУД ИНДАСТРИ"	1646027030	Hayat Holding	368,0
ООО "ЭГГЕР ДРЕВПРОДУКТ ГАГАРИН"	6723019741	EGGER	367,0
ООО "Сименс"	7725025502	Siemens	365,0
ООО "СВИСС КРОНО"	4407006010	Swiss Krono	360,0
ООО "Берлин-Хеми/А. Менарини"	7703755618	Berlin-Chemie	356,0
ООО "ДЖОН ДИР РУСЬ"	5610085533	John Deere	356,0
ООО "Данфосс"	5017050538	Danfoss	353,0
ООО "Сименс Финанс"	2536247123	Siemens	349,0
АКЦИОНЕРНОЕ ОБЩЕСТВО ТАРКЕТТ РУС	7727115649	Tarkett	342,0
ООО "БРИСТОЛ-МАЙЕРС СКВИББ"	7705022542	Bristol Myers Squibb	338,0
АО "ГЛАКСОСМИТКЛЯЙН ХЕЛСКЕР"	7703105112	GlaxoSmithKline	335,0
АО "СЕРВЬЕ"	7710149544	Laboratoire Servier	332,0
ООО "Камминз"	5047053409	Cummins	332,0
ООО "РСХ"	4715026815	Sisecam	331,0
ООО "Бриджстоун СНГ"	7703204071	Bridgestone Tire	331,0
ООО ДАУ Изолан	3329040242	Dow Chemical	331,0
АКЦИОНЕРНОЕ ОБЩЕСТВО ПТИЦЕФАБРИКА СЕВЕРНАЯ	4706002688	Charoen Pokphand Foods	330,0
МастерКард ООО	7707724547	Mastercard	328,0
ООО "Технологическая Компания Шлюмберже"	7709413265	Schlumberger	324,0
АО "СОНИ ЭЛЕКТРОНИКС"	7703001265	Sony	324,0
ООО "АББ"	7727180430	ABB	324,0
ООО "СИМЕНС ЭНЕРГЕТИКА"	9705141494	Siemens Energy AG (Independent)	321,0
ООО "НСН"	7725593720	Nokia	319,0
ООО "Мак-Кинзи и Компания СиАйЭс"	7710708760	McKinsey	319,0
ООО "КАЛЦРУ"	5003046732	Calzedonia	319,0
ООО Нестле Кубань	2353018969	Nestle	313,0
МАРР РУССИЯ	7729409940	Inalca	308,0
БМВ ЛИЗИНГ	5047125036	BMW	307,0
ТЕХКОМПАНИЯ ОНОР	9731055266	Honor	304,0
ООО "Такеда Фармасьютикалс"	7711067140	Takeda	304,0
ООО "Платежная система "Виза"	7710759236	Visa	300,0
БРИДЖСТОУН ТАЙЕР МАНУФЭКЧУРИНГ СНГ	7325120984	Bridgestone Tire	296,0
ЗАО "Москва - Макдоналдс"	7710044132	McDonald's	294,0
ООО "КНАУФ ГИПС"	5024051564	Knauf Gips	290,0
ООО "НАЙК"	7702345288	Nike	290,0
ЗАО "П.Р. Русь"	7729104184	Pernod Ricard	286,0
ООО "Др. Редди`с Лабораторис"	7707321227	Dr Reddys Labs	286,0
ИНГКА СЕНТЕРС РУС ПРОПЕРТИ Б	5047202308	Ingka	283,0
ООО "МЕРК"	7743697546	Merck	282,0
ООО "КЕРАМА МАРАЦЦИ"	5752070451	Mohawk Industries	282,0
ООО НТО "ИРЭ-Полюс"	5052002745	IPG Photonic	282,0
ООО "РОКВУЛ"	5012093506	Rockwool	282,0
ООО "КРАФТХАЙНЦ ВОСТОК"	7804307179	Kraft Heinz	279,0
ООО "ЭЙВОН БЬЮТИ ПРОДАКТС КОМПАНИ"	7708234256	Avon	275,0
ООО "КЛААС"	2312104023	Claas	275,0
АО "АСТЕЛЛАС ФАРМА"	7705042683	Astellas Pharma	274,0
ООО "МСД Фармасьютикалс"	7706701593	MSD	274,0
ООО "Сделай Своими Руками"	5003042456	OBI Group	274,0
АО "АРМАДИЛЛО БИЗНЕС ПОСЫЛКА"	7713215523	DPD	272,0
ООО "Сен-Гобен Строительная Продукция Рус"	5011020537	Saint-Gobain	272,0
АО "КОЛГЕЙТ-ПАЛМОЛИВ"	5024012156	Colgate-Palmolive	271,0
ООО "МАКИТА"	7718254597	Makita Corporation	271,0
ООО "ДЖИ ЭМ АВТО"	7840336464	GM (General Motors)	269,0
ООО "АСБИС"	7717115978	ASBIS	269,0
ООО "ФОЛЬКСВАГЕН КОМПОНЕНТЫ И СЕРВИСЫ"	4029035814	Volkswagen	268,0
ООО "ОБИ ФРАНЧАЙЗИНГОВЫЙ ЦЕНТР"	7710439772	OBI Group	268,0
ООО "ХКМ ЕВРАЗИЯ"	6950130168	Hitachi Construction	268,0
ООО "Касторама РУС"	7703528301	Castorama	267,0
ООО "АЛИБАБА.КОМ (РУ)"	7703380158	Alibaba	267,0
АО "ТАРКЕТТ"	6340007043	Tarkett	265,0
ООО "БАРРИ КАЛЛЕБАУТ НЛ РАША"	5048014441	Barry Callebaut	265,0
ООО "ЛЕГО"	7707311980	Lego	264,0
ФОЛЬКСВАГЕН ГРУП ФИНАНЦ	7702349370	Volkswagen	262,0
КОМЕК МАШИНЕРИ	6674167078	Mitsui & Co.	262,0
ООО "Ригли"	7705008210	Wrigley	261,0
ООО "ТОТАЛ ВОСТОК"	7707655396	Total Energies	261,0
ООО "КРКА-РУС"	5017036276	KRKA	260,0
ООО "БЕКО"	7804157910	Beko	260,0
ООО "Сандвик Майнинг энд Констракшн СНГ"	7743051544	Sandvik	256,0
ООО "ЮПМ-Кюммене"	7709640099	UPM	256,0
ООО "Эй Джи Си Флэт Гласс Клин"	5020033028	AGC	256,0
ООО "ШАНЕЛЬ"	7702331790	Chanel	256,0
ООО "ЯМ РЕСТОРАНТС РАША"	7722561551	Yum Brands	254,0
АКЦИОНЕРНОЕ ОБЩЕСТВО ДХЛ ИНТЕРНЕШНЛ	7707033437	Deutsche Post	253,0
ООО "Кэн-Пак Завод Упаковки"	5004016145	TAPON FRANCE	253,0
ООО "СЛК ЦЕМЕНТ"	6633028244	Buzzi Unicem	251,0
ООО "ВОЛЬВО КОМПОНЕНТЫ"	5047056030	Volvo Cars	250,0
ООО "Электролюкс Рус"	7804159731	AB Electrolux	250,0
ООО "СИАРСИСИ РУС"	7730212723	China Railway Construction Corporation	247,0
ЗАО "ЗМ Россия"	7702045083	3M	246,0
ООО "ФОРЕСИЯ АУТОМОТИВ ДЕВЕЛОПМЕНТ"	7730579094	Faurecia	246,0
ООО "ХОЛСИМ (РУС) СМ"	5022050558	Holcim Group	244,0
ООО "БАЛТКО"	7707328335	Viciunai group	243,0
ООО "ЛУИ ВЮИТТОН ВОСТОК"	7710378784	Louis Vuitton	240,0
ООО "Шмитц Каргобулл Руссланд"	4703091270	Schmitz Cargobull	240,0
ООО "СИМЕНС ЗДРАВООХРАНЕНИЕ"	7725271480	Siemens Healthineers	239,0
ООО "ЭПИРОК РУС"	5047201777	Epiroc	239,0
ООО "Вичюнай-Русь"	3911008930	Viciunai group	238,0
ЗАО "ФМ ЛОЖИСТИК ВОСТОК"	5047027173	FM Logistic	236,0
ООО "ДАФ Тракс Рус"	7714836516	DAF Trucks	236,0
ООО "Шлюмберже Восток"	7709542704	Schlumberger	235,0
ООО "Инчкейп Олимп"	7842344848	Inchcape	235,0
ООО "Массимо Дутти"	7717555256	Inditex	233,0
ООО "РЕХАУ"	7709265218	Rehau	232,0
ООО "РБ ЛИЗИНГ"	7709202955	Societe Generale	231,0
ООО "Континентал Тайрс РУС"	7706560230	Continental	231,0
ООО "СЯОМИ"	7726439295	Xiaomi	231,0
ООО "ЭСТЕ ЛАУДЕР КОМПАНИЗ"	7730166315	Estee Lauder	228,0
ООО "Везерфорд"	7708639661	Weatherford	226,0
ООО "Байерсдорф"	7702226629	Beiersdorf	226,0
ООО "ГЛОВИС РУС"	7805464287	Hyundai	226,0
ООО "Илим Тимбер"	7838407799	International Paper	226,0
ООО "Горенье БТ"	7704722037	Gorenje	225,0
ООО "ХАЯТ МАРКЕТИНГ"	2315170296	Hayat Holding	224,0
ООО "ПУМА-РУС"	7701231873	Puma	224,0
ФОРД СОЛЛЕРС ХОЛДИНГ	1646021952	Ford Motor Company	222,0
ООО "ДжиИ Хэлскеа"	7719048808	GE	222,0
ООО "ОТИС Лифт"	7805223443	Otis Worldwide	219,0
ООО "Джей Си Би Раша"	7702665111	JCB	218,0
АО "ИСУЗУ РУС"	1646022089	ISUZU	218,0
АО "СМЕРФИТ КАППА РУС"	7724190750	Smurfit Kappa	217,0
ООО "Гудиер Раша"	7707296796	Goodyear	215,0
АО "ХИЛТИ ДИСТРИБЬЮШН ЛТД"	7710050305	Hilti	214,0
ООО "АМВЭЙ"	7704511011	Amway	212,5
АО "ГЕДЕОН РИХТЕР-РУС"	5011016121	Gedeon Richter	211,0
ООО "Керхер"	7705581614	Karcher	211,0
ООО "Орифлэйм Косметикс"	7704270172	Oriflame Cosmetics	210,0
ХАРМАН РУС СИАЙЭС	7703750666	Harman International	209,0
ООО "Питерформ"	7840387765	Cosym Holding	208,0
ООО "Канон Ру"	7705631079	Canon	208,0
ООО "АстраЗенека Индастриз"	4029043692	AstraZeneca	207,0
ООО "Эрманн"	5040044451	Ehrmann	204,0
ООО "ЭККО-РОС"	5042013346	Ecco	204,0
ООО "Дайсон"	7710669617	Dyson	204,0
ООО "КН"	7710431565	Kuehne + Nagel AG	204,0
ООО "Рекитт Бенкизер Хэлскэр"	7710463461	Reckitt Benckiser Group	203,0
ООО "АмРест"	7825335145	AmRest	203,0
ООО "ЦФ РУССИЯ"	7816137563	ZF Friedrichshafen	200,0
ООО "Ксерокс (СНГ)"	7705029530	Xerox	199,0
ООО "Субару Мотор"	7714176330	Subaru	196,0
ООО "ФАЦЕР"	7810356819	Fazer	196,0
ООО "Бондюэль-Кубань"	2310060010	Bonduelle	196,0
ООО "Пионер Хай-Брэд Рус"	6163104945	Pioneer	196,0
ООО "Делонги"	1646017441	Delonghi	196,0
ООО "Сименс Технологии Газовых Турбин"	7804027534	Siemens	196,0
АКЦИОНЕРНОЕ ОБЩЕСТВО МАГНА АВТОМОТИВ РУС	5256076921	Magna International	195,0
ООО "КЕЛЛОГГ РУС"	3661048688	Kellogg	194,0
ООО "ЛИЛЛИ ФАРМА"	7702219484	Eli Lilly	194,0
ООО "МЕДТРОНИК"	7703655356	Medtronic	193,0
ООО "ХайдельбергЦемент Рус"	5036074848	HeidelbergCement	192,0
ООО "Грундфос"	5042054367	Grundfos	190,0
ООО "ХАЯТ КИМЬЯ"	1646030731	Hayat Holding	189,0
ООО "СУЗУКИ МОТОР РУС"	7704558059	Suzuki	189,0
ООО "БЕЛЛА Восток"	7721504871	TZMO	186,0
ООО "Ново Нордиск"	7729427770	Novo Nordisk	186,0
ООО "ВИС"	7716118119	Wirtgen-International-Service	185,0
ООО "ДЛЛ Лизинг"	7710443169	DLL Group	185,0
ИНЧКЕЙП ХОЛДИНГ	7714700709	Inchcape	185,0
АО "РЕНЕЙССАНС КОНСТРАКШН"	7708185129	Rönesans Holding	183,0
ООО "Перфетти Ван Мелле"	5017051394	Perfetti Van Melle	183,0
ЮНГХАЙНРИХ подъемно-погрузочная техника ООО	7715364168	Jungheinrich	183,0
ООО "Селдико"	7734170383	LVMH	183,0
ЗАО "Джи Эм-АВТОВАЗ"	6320013659	Renault	182,0
ООО "Тиккурила"	7816424590	Tikkurila Oyj	182,0
ООО "Рекитт Бенкизер"	7705495411	Reckitt Benckiser Group	181,0
ООО "Б.Браун Медикал"	7825465916	B. Braun	179,0
ООО "ЮНИКРЕДИТ ЛИЗИНГ"	7710446378	UniCredit Bank	179,0
ООО "МОНЭКС ТРЕЙДИНГ"	7710323601	Mothercare	179,0
ООО "МАНГО Раша"	7810092757	Mango	179,0
АО "КПМГ"	7702019950	KPMG	179,0
ТЕК-КОМ ПРОИЗВОДСТВО	7703444041	SKF	179,0
ООО "Континентал Калуга"	4027105304	Continental	179,0
ООО "ХЬЮЛЕТТ ПАККАРД ЭНТЕРПРАЙЗ"	7743098542	HP (Hewlett-Packard)	176,0
ПРОВИМИ	7705014478	Cargill	176,0
ООО "ЭСАБ"	7704219345	ESAB	176,0
АКЦИОНЕРНОЕ ОБЩЕСТВО ШАХТОУПРАВЛЕНИЕ ОБУХОВСКАЯ	6146004404	DTEK	176,0
ООО "Мантрак Восток"	7203110241	Mansour Group	176,0
ООО "Аутспан Интернешнл"	7731537040	Olam International	174,0
ИНГКА СЕНТЕРС РУС ПРОПЕРТИ А	5047202298	Ingka	174,0
АО "ЛАКТАЛИС ВОСТОК"	7716128854	Lactalis	172,0
ООО "СИМЕНС МОБИЛЬНОСТЬ"	9705122340	Siemens Mobility	172,0
ООО "Понссе"	7841312240	Ponsse PLC	172,0
ООО "Бершка СНГ"	7717555224	Inditex	169,0
ООО "ФАВ-ВОСТОЧНАЯ ЕВРОПА"	7726571783	FAW Group	168,0
ООО "Зельгрос"	5050058510	Selgros	167,0
ООО КШТЭ ВОСТОК	7704514742	Karl Storz	164,0
ООО "ГЕРБАЛАЙФ ИНТЕРНЭШНЛ РС"	7702512933	Herbalife	164,0
АО "АТЛАС КОПКО"	7710218759	Atlas Copco	164,0
ООО " БИСИДЖИ"	7710927201	BCG (Boston Consulting Group)	163,0
ООО "СТОРА ЭНСО ПАКАДЖИНГ ББ"	4003014954	Stora Enso	163,0
ООО "Грундфос Истра"	5017047704	Grundfos	161,0
ООО "ИМПЕРИАЛ ТОБАККО ВОЛГА"	3443033593	Imperial Brands	158,0
ООО "СПАР Тула"	7104044982	SPAR	157,0
OPEN JOINT STOCK COMPANY TERNEYLES	2528000813	Sumitomo	156,0
ООО "Шисейдо (РУС)"	7705788023	Shiseido	154,0
ООО "Комацу Мэнуфэкчуринг Рус"	7604126295	Komatsu	154,0
АЗОВСКИЙ ЗЕРНОВОЙ ТЕРМИНАЛ	7734428522	Olam International	153,0
ООО "ЭВОНИК ХИМИЯ"	7729527750	Evonik	153,0
ООО "АКСЕНЧЕР"	7705476338	Accenture	153,0
ООО "Хенкель Баутехник"	5022031259	Henkel	151,0
ООО "СК "ПЕТРОАЛЬЯНС"	7708084402	Schlumberger	151,0
ООО "КАМПИНА"	5045021970	Campina, LLC	151,0
ООО "АМДЖЕН"	7705750830	Amgen	151,0
ООО "ИКЕА СЕНТЕРС РУС ОПЕРЭЙШН"	5047175485	IKEA	151,0
АО "СЖС ВОСТОК ЛИМИТЕД"	7703007980	SGS	150,0
ОЛИМПАС МОСКВА	7703026005	Olympus	150,0
ООО "АГКО МАШИНЕРИ"	7702616330	AGCO	150,0
ООО "НетКрэкер"	7713511177	Netcracker Technology	149,0
АО "ИЛИМ ГОФРА"	4705034655	International Paper	149,0
ООО "ИБМ ВЕА"	7705041866	IBM	146,0
ООО "ЛЕГРАН"	7718254822	Legrand	146,0
ООО "КНАУФ ГИПС КУБАНЬ"	2342018036	Knauf Gips	146,0
СТЭНЛИ БЛЭК ЭНД ДЕККЕР	7705987830	Stanley Black & Decker	145,0
АО "ШЕНКЕР"	7810944666	DB Schenker	144,0
ООО "Шэффлер Руссланд"	7714647727	Schaeffler	144,0
ООО "Люксофт Профешнл"	7713605227	Luxoft	144,0
ООО "Пулл энд Беар СНГ"	7717555231	Inditex	144,0
ООО УОЛТ ДИСНЕЙ КОМПАНИ СНГ	7710608533	Disney	144,0
ООО "ТЕХЦЕНТР ДОЙЧЕ БАНКА"	7714941430	Deutsche Bank	143,0
ООО "ИПСЕН"	7709721774	Ipsen	143,0
ООО "Фригогласс Евразия"	5752019857	Frigoglass	143,0
Алпла ООО	5056000026	ALPLA	143,0
ООО "Катерпиллар Файнэншл"	7707306927	Caterpillar	143,0
ООО "БОЛЛ ВСЕВОЛОЖСК"	4703065337	Ball Corporation	142,0
ООО "ХЕНДЭ СТИЛ РУС"	7813442054	Hyundai	142,0
ООО "ДХЛ ГЛОБАЛ ФОРВАРДИНГ"	5047157655	DHL	142,0
ООО "ЭббВи"	7743855873	AbbVie	140,0
ООО "Пармалат МК"	7704191474	Parmalat	140,0
ООО "ЗТИ- Связьтехнологии"	7717147218	ZTE	140,0
ООО "БЕЛЛА"	5011021499	TZMO	139,0
ООО "ИКЕА Индастри Новгород"	5310011273	IKEA	139,0
ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ЭЙ ДЖИ СИ БОРСКИЙ СТЕКОЛЬНЫЙ ЗАВОД	5246002261	AGC	139,0
ЗАО "Хантсман-НМГ"	4025044085	Huntsman Corporation	139,0
МАЙЕР-МЕЛНХОФ ХОЛЬЦ ЕФИМОВСКИЙ	4715778325	Mayr-Melnhof	139,0
ООО "КИОСЕРА Документ Солюшенз Рус"	7702760975	Kyocera	138,0
ООО "АЛД АВТОМОТИВ"	7725514969	ALD Automotive	138,0
ООО "Шторк"	7710233193	August Storck	138,0
ООО "СЕТРА ЛУБРИКАНТС"	7707240176	BP (British Petroleum)	138,0
ДЁЛЕР НЭЙЧРЭЛ ФУД ЭНД БЕВЭРИДЖ ИНГРЕДИЕНТС	7704030318	Döhler	137,0
ТЕХНИКА ДЛЯ ДОМА ФИЛИПС	9703016882	Philips	137,0
